Generation,pm
0,0.01
1,0.009
2,0.008
3,0.007
4,0.006
5,0.005
6,0.004
7,0.003
8,0.002
9,0.001
10,0.001
11,0.001
12,0.001
13,0.001
14,0.001
15,0.001
16,0.001
17,0.001
18,0.001
19,0.001
20,0.001
21,0.001
22,0.001
23,0.001
24,0.001
25,0.001
26,0.001
27,0.001
28,0.001
29,0.001
30,0.001
31,0.001
32,0.001
33,0.001
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.001
40,0.001
41,0.001
42,0.001
43,0.001
44,0.001
45,0.001
46,0.001
47,0.002
48,0.003
49,0.004
50,0.005
51,0.006
52,0.005
53,0.004
54,0.003
55,0.002
56,0.001
57,0.001
58,0.001
59,0.001
60,0.002
61,0.001
62,0.002
63,0.001
64,0.002
65,0.003
66,0.004
67,0.005
68,0.006
69,0.007
70,0.008
71,0.009
72,0.01
73,0.011
74,0.01
75,0.009
76,0.008
77,0.009
78,0.008
79,0.007
80,0.008
81,0.009
82,0.01
83,0.011
84,0.01
85,0.011
86,0.012
87,0.013
88,0.014
89,0.015
90,0.016
91,0.017
92,0.018
93,0.019
94,0.02
95,0.021
96,0.022
97,0.023
98,0.024
99,0.025
100,0.026
101,0.027
102,0.028
103,0.029
104,0.03
105,0.031
106,0.032
107,0.033
108,0.032
109,0.031
110,0.03
111,0.029
112,0.028
113,0.029
114,0.03
115,0.031
116,0.032
117,0.033
118,0.034
119,0.035
120,0.036
121,0.037
122,0.038
123,0.039
124,0.04
125,0.041
126,0.042
127,0.043
128,0.044
129,0.045
130,0.044
131,0.043
132,0.042
133,0.041
134,0.04
135,0.039
136,0.038
137,0.037
138,0.038
139,0.039
140,0.04
141,0.041
142,0.042
143,0.043
144,0.044
145,0.043
146,0.042
147,0.041
148,0.04
149,0.039
150,0.038
151,0.037
152,0.036
153,0.035
154,0.036
155,0.037
156,0.038
157,0.039
158,0.04
159,0.041
160,0.042
161,0.041
162,0.04
163,0.039
164,0.038
165,0.037
166,0.036
167,0.035
168,0.034
169,0.033
170,0.032
171,0.033
172,0.034
173,0.035
174,0.036
175,0.037
176,0.038
177,0.039
178,0.04
179,0.041
180,0.042
181,0.043
182,0.044
183,0.043
184,0.042
185,0.041
186,0.04
187,0.039
188,0.038
189,0.037
190,0.038
191,0.039
192,0.04
193,0.041
194,0.042
195,0.041
196,0.04
197,0.039
198,0.038
199,0.037
200,0.036
